Baseline,Correlated,MIC
通信_denoised,非银金融_denoised,0.3605632292483264
建筑材料_denoised,纺织服饰_denoised,0.35914352971576763
社会服务_denoised,钢铁_denoised,0.358668709525633
钢铁_denoised,农林牧渔_denoised,0.358668709525633
国防军工_denoised,钢铁_denoised,0.3584188359979843
医药生物_denoised,钢铁_denoised,0.3576203742038297
煤炭_denoised,建筑材料_denoised,0.3540880984810031
机械设备_denoised,建筑材料_denoised,0.3536101579326091
银行_denoised,轻工制造_denoised,0.35335717700496605
计算机_denoised,商贸零售_denoised,0.3532321657116624
计算机_denoised,钢铁_denoised,0.3531022656023547
建筑材料_denoised,商贸零售_denoised,0.3478288981930826
煤炭_denoised,传媒_denoised,0.3470634909669358
银行_denoised,传媒_denoised,0.344804657008917
通信_denoised,国防军工_denoised,0.3422149191971779
电力设备_denoised,钢铁_denoised,0.33696469035581744
石油石化_denoised,电子_denoised,0.3347144167447324
建筑材料_denoised,公用事业_denoised,0.33416277601328936
建筑材料_denoised,传媒_denoised,0.33281729855535036
机械设备_denoised,非银金融_denoised,0.3317506492942903
公用事业_denoised,农林牧渔_denoised,0.32913899729001106
美容护理_denoised,石油石化_denoised,0.3290152354970977
国防军工_denoised,医药生物_denoised,0.3282252016774088
有色金属_denoised,非银金融_denoised,0.32772892884787014
环保_denoised,石油石化_denoised,0.3266419625718947
煤炭_denoised,家用电器_denoised,0.3260680452134443
国防军工_denoised,建筑材料_denoised,0.3244742471337087
环保_denoised,国防军工_denoised,0.32323281480672905
石油石化_denoised,通信_denoised,0.32036394735164986
电子_denoised,钢铁_denoised,0.3199449366503115
石油石化_denoised,传媒_denoised,0.3191492991903466
通信_denoised,银行_denoised,0.31649945691367837
环保_denoised,非银金融_denoised,0.3143174057080434
银行_denoised,商贸零售_denoised,0.3142884162783036
石油石化_denoised,建筑材料_denoised,0.3097023235548836
石油石化_denoised,非银金融_denoised,0.3085975858646361
汽车_denoised,非银金融_denoised,0.3078081416074387
银行_denoised,汽车_denoised,0.3066782626003713
银行_denoised,公用事业_denoised,0.30050154552722536
国防军工_denoised,建筑装饰_denoised,0.30008998793044184
美容护理_denoised,银行_denoised,0.29826113070661436
煤炭_denoised,通信_denoised,0.29705135732180693
环保_denoised,计算机_denoised,0.2963551035206782
环保_denoised,银行_denoised,0.29512466821300776
石油石化_denoised,医药生物_denoised,0.2921911065508353
国防军工_denoised,房地产_denoised,0.2915416833444925
石油石化_denoised,社会服务_denoised,0.2899727820117857
综合_denoised,银行_denoised,0.28717404147688724
银行_denoised,有色金属_denoised,0.2832471953090653
煤炭_denoised,农林牧渔_denoised,0.28292755372965755
石油石化_denoised,计算机_denoised,0.28184800675339133
石油石化_denoised,家用电器_denoised,0.27367185296839786
机械设备_denoised,银行_denoised,0.27085946096229263
煤炭_denoised,计算机_denoised,0.26943710260420867
电力设备_denoised,银行_denoised,0.2625194937454914
国防军工_denoised,银行_denoised,0.26099056142961796
美容护理_denoised,钢铁_denoised,0.2553848179686688
石油石化_denoised,农林牧渔_denoised,0.25309432528166703
石油石化_denoised,银行_denoised,0.24157129643634925
煤炭_denoised,银行_denoised,0.23020985123828644
