date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20160614,272.72,267.71,273.8,267.71,2.56,273.614,270.402,260.5925,6.703,5.734,1.939,62.6193,71.0415,45.7749,60.233,38.16,68.424,-0.953,1.945,5.091,66.667,65.278,48.5098,6.516,268.7052
20160615,276.4,270.71,277.8,270.21,2.73,273.682,272.424,261.8275,6.871,5.961,1.819,60.5611,67.548,46.5873,61.795,32.784,39.403,0.847,2.563,6.097,66.667,63.889,64.454,6.6705,269.3765
20160616,273.96,274.86,277.8,273.78,1.96,272.892,273.32,263.0255,6.728,6.115,1.228,55.7555,63.6172,40.032,60.161,53.833,37.01,0.085,1.018,4.874,58.333,62.5,58.9814,6.743,270.578
20160617,278.37,273.6,282.49,273.6,2.47,273.73,274.786,264.7235,6.892,6.27,1.244,56.8872,61.3739,47.914,62.053,35.272,25.369,1.667,1.949,6.183,58.333,61.111,77.3609,6.75,271.9548
20160620,276.28,279.77,279.86,274,1.9,275.546,275.708,266.239,6.775,6.371,0.808,57.885,60.2109,53.2333,60.629,51.049,38.239,0.775,0.837,4.969,50,59.722,57.5908,6.8385,272.6462
20160621,273.85,277.04,277.94,273,1.67,275.772,274.693,267.361,6.413,6.379,0.067,54.1894,58.2037,46.1606,58.986,54.627,58.457,-0.513,-0.357,3.682,50,58.333,27.4152,6.6925,273.4059
20160622,278.5,273.77,279.36,272.77,2.09,276.192,274.937,268.572,6.426,6.389,0.075,61.2699,59.2258,65.3582,61.091,24.569,32.492,0.823,0.984,4.97,50,55.556,51.808,6.7585,274.1986
20160623,276.53,279.97,279.97,274.88,1.4,276.706,274.799,269.7985,6.207,6.352,-0.291,61.9468,60.1328,65.5748,59.736,36.7,61.317,0.102,0.497,3.705,41.667,51.389,53.9014,6.7575,274.3759
20160624,273.8,275.28,277,267.2,2.01,275.792,274.761,270.8945,5.746,6.231,-0.97,55.6863,58.6506,49.7577,57.879,53.51,56.835,-0.877,-0.427,2.236,41.667,48.611,-92.2556,7.051,274.592
20160627,288,275,292.3,275,6.36,278.136,276.841,272.6605,6.453,6.276,0.354,64.7471,60.6828,72.8756,63.959,17.131,17.131,3.662,4.418,6.93,41.667,45.833,244.4954,7.746,276.4366
